date,temp_mean,temp_min,temp_max,rain_mm,pressure_early,pressure_late,wind_mean,wind_max,wind_dir,sun_hours
2012-12-08,2.3,-2.3,5.6,2.1,1018,1011,5.8,33,N,7.16
2012-12-09,3.2,0.7,4.6,4.3,1010,1021,9.8,32,SSW,
2012-12-10,1,-0.1,0.9,0.0,1028,1032,1.1,12,SSW,
2012-12-11,-2.4,-5.4,-1.1,0.0,1032,1027,0.1,4,SSW,
2012-12-12,-3.6,-8.2,-0.8,0.0,1019,1012,0.1,4,SSW,
2012-12-13,-4.5,-11.1,2.4,1.4,1007,1001,0.2,16,SSW,
2012-12-14,2.3,-11,4.3,11.1,989,975,7.9,37,ENE,
2012-12-15,2.8,0.9,4.3,0.0,975,984,4.8,23,SSW,
2012-12-16,0.5,-2.3,2.9,0.3,991,994,0.5,7,S,
2012-12-17,1.1,2.1,4.6,0.2,997,1006,1.4,12,NNE,
2012-12-18,-0.1,0.7,5,0.2,1016,1020,0.1,5,WSW,0
2012-12-19,2.1,-3.9,5.7,0.1,1016,1012,9.6,44,SE,0
2012-12-20,4.7,4.8,5.2,1.2,1007,1005,11.3,41,E,0
2012-12-21,3.7,3.3,4.8,1.6,1010,1012,5,31,E,0
2012-12-22,5,2.5,7.2,12.6,1002,991 ,18.8,46,ESE,0
2012-12-23,5.8,3.7,6.7,2.0,979,990,10,41,SW,0.08
2012-12-24,1.4,-2.3,1.9,0.7,993,987,1.5,21,SE,0
2012-12-25,0.9,-3.2,4.2,2.3,985,989,2.4,20 ,SSW,0.7
2012-12-26,0.1,-0.4,1.7,0.5,997,996,0.5,12,ESE,3.93
2012-12-27,0.2,-4.3,4.8,0.2,1004,1011,2.2,16,NE,0
2012-12-28,6.3,-1.4,12.2,0.0,997,986,9.5,41,SSW,0.17
2012-12-29,5.8,4.5,7.5,0.0,985,983,11.5,50,SSW,0.58
2012-12-30,2,0.2,9,3.3,986,989,8.4,29,SSW,0
2012-12-31,4.7,1.2,8.1,0.5,976,994,6.9,34,SSW,0.07
2013-01-01,2.6,0.2,5,8.8,994,1011,5.7,23,SSW,0.31
2013-01-02,6.1,1.5,10.9,0.1,1010,1012,6.8,29,SW,2.94
2013-01-03,8.9,3.9,10.4,0.0,1021,1024,10.6,32,SSW,1.98
2013-01-04,8.5,7.2,10.4,0.0,1028,1029,8.5,32,SSW,0
2013-01-05,5.8,1.4,10.2,0.1,1026,1024,3.8,23,SSW,0
2013-01-06,5.1,0.1,9.6,0.0,1027,1020,2.4,30,S,0
2013-01-07,6.8,0.5,7.2,5.4,1018,1016,0.7,11,S,0 
2013-01-08,5.6,2,10.6,0.0,1013,1018,3.4,30,SSW,1.16
2013-01-09,4.1,0.7,6.1,0.3,1019,1017,3.7,16,SW,0.32
2013-01-10,0.8,2,5.6,0.0,1016,1015,0.7,11,SE,1.01
2013-01-11,-0.7,-5.8,3.3,0.0,1016,1015,0.1 ,5,SW,1.7
2013-01-12,-2.3,-6.5,2,1.1,1017,1019,1.1,13,SSW,2.04
2013-01-13,-1.6,-3.3,1.4,0.5,1017,1015,1.1,13,SSE,0
2013-01-14,-2.7,-5.8,0.5,2.8,1009,1009,1.2,12,SSE,2.29
2013-01-15,-5.6,-4.6,-2.4,0.0,1013,1012,0.1,4,SSW,5.22
2013-01-16,-6.8,-12.3,0.1,0.0,1012,1014,0.1,3,N,0
2013-01-17,-0.7,-9.1,2,0.2,1015,1010,6,31,SE,3.06
2013-01-18,-0.5,-0.4,-0.6,1.2,1007,1004,10.2,32,E,1.46
2013-01-19,-0.4,-0.8 ,1.6,0.2,1007,1009,5.4,23,ENE,0.17
2013-01-20,-1.6,-1.9,1.1,0.2,1006,1004,2.1,14,ENE,0
2013-01-21,-0.9,-1.9,1,2.6,1004,1004,9,31,ENE,0
2013-01-22,0.5,-0.9,0.3,0.0,1008,1011,6.1,32,ENE,0.27
2013-01-23,-3.2,-6.8,1,0.0,1012,1016,0.8,14,SSE,0
2013-01-24,-1.9,-6.8,2.1,0.0,1018,1014,1.3,15,NNE,3.22
2013-01-25,1.3,-3.9,2.9,3.0,1006,994,2.4,19,SSE,0
2013-01-26,2,-0.4,6,1.9,997,983,6.3,31,SSW,4.24
2013-01-27,2.8,0.4,4.7,5.9,973,982,9.2,31,SSW,2.82
2013-01-28,2.7,0.6,6,0.3,988 ,974,9.9,33,SSW,0.46
2013-01-29,6.1,1.5,7.7,0.8,989,975,11.9,55,SSW,0
2013-01-30,4.8,4.4,6.2,4.6,981,997,18.6,54,SSW,2.51
2013-01-31,2.6,-0.6,4.2,3.7,990,995,3,23,SSW,0
