date,sunrise,sunset,daylength,daylength_difference,at_start,at_end,nt_start,nt_end,ct_start,ct_end,sn_time,sn_mil_km
2011-12-01,08:18:00,15:44:00,0 days 07:25:45,,06:00:00,18:02:00,06:45:00,17:17:00,07:33:00,16:29:00,12:01:00,147.52
2011-12-02,08:20:00,15:43:00,0 days 07:23:13,,06:02:00,18:01:00,06:46:00,17:16:00,07:34:00,16:28:00,12:02:00,147.495
2011-12-03,08:21:00,15:42:00,0 days 07:20:48,,06:03:00,18:01:00,06:48:00,17:16:00,07:36:00,16:28:00,12:02:00,147.471
2011-12-04,08:23:00,15:41:00,0 days 07:18:29,,06:04:00,18:00:00,06:49:00,17:15:00,07:37:00,16:27:00,12:02:00,147.447
2011-12-05,08:24:00,15:41:00,0 days 07:16:17,,06:05:00,18:00:00,06:50:00,17:15:00,07:39:00,16:27:00,12:03:00,147.425
2011-12-06,08:26:00,15:40:00,0 days 07:14:11,,06:06:00,18:00:00,06:52:00,17:14:00,07:40:00,16:26:00,12:03:00,147.403
2011-12-07,08:27:00,15:40:00,0 days 07:12:12,,06:07:00,17:59:00,06:53:00,17:14:00,07:41:00,16:26:00,12:04:00,147.381
2011-12-08,08:29:00,15:39:00,0 days 07:10:20,,06:09:00,17:59:00,06:54:00,17:14:00,07:42:00,16:25:00,12:04:00,147.361
2011-12-09,08:30:00,15:39:00,0 days 07:08:36,,06:10:00,17:59:00,06:55:00,17:14:00,07:44:00,16:25:00,12:04:00,147.342
2011-12-10,08:31:00,15:38:00,0 days 07:06:58,,06:11:00,17:59:00,06:56:00,17:14:00,07:45:00,16:25:00,12:05:00,147.323
2011-12-11,08:33:00,15:38:00,0 days 07:05:28,,06:12:00,17:59:00,06:57:00,17:13:00,07:46:00,16:25:00,12:05:00,147.305
2011-12-12,08:34:00,15:38:00,0 days 07:04:05,,06:13:00,17:59:00,06:58:00,17:13:00,07:47:00,16:25:00,12:06:00,147.288
2011-12-13,08:35:00,15:38:00,0 days 07:02:51,,06:13:00,17:59:00,06:59:00,17:13:00,07:48:00,16:25:00,12:06:00,147.272
2011-12-14,08:36:00,15:38:00,0 days 07:01:43,,06:14:00,17:59:00,07:00:00,17:14:00,07:49:00,16:25:00,12:07:00,147.257
2011-12-15,08:37:00,15:38:00,0 days 07:00:44,,06:15:00,17:59:00,07:01:00,17:14:00,07:50:00,16:25:00,12:07:00,147.243
2011-12-16,08:38:00,15:38:00,0 days 06:59:53,,06:16:00,17:59:00,07:02:00,17:14:00,07:51:00,16:25:00,12:08:00,147.23
2011-12-17,08:39:00,15:38:00,0 days 06:59:10,,06:17:00,18:00:00,07:02:00,17:14:00,07:51:00,16:25:00,12:08:00,147.217
2011-12-18,08:39:00,15:38:00,0 days 06:58:35,,06:17:00,18:00:00,07:03:00,17:14:00,07:52:00,16:25:00,12:09:00,147.205
2011-12-19,08:40:00,15:38:00,0 days 06:58:09,,06:18:00,18:00:00,07:04:00,17:15:00,07:53:00,16:26:00,12:09:00,147.194
2011-12-20,08:41:00,15:39:00,0 days 06:57:50,,06:19:00,18:01:00,07:04:00,17:15:00,07:53:00,16:26:00,12:10:00,147.184
2011-12-21,08:41:00,15:39:00,0 days 06:57:40,,06:19:00,18:01:00,07:05:00,17:15:00,07:54:00,16:26:00,12:10:00,147.174
2011-12-22,08:42:00,15:40:00,0 days 06:57:38,,06:20:00,18:02:00,07:05:00,17:16:00,07:55:00,16:27:00,12:11:00,147.164
2011-12-23,08:42:00,15:40:00,0 days 06:57:45,,06:20:00,18:02:00,07:06:00,17:17:00,07:55:00,16:27:00,12:11:00,147.156
2011-12-24,08:43:00,15:41:00,0 days 06:58:00,,06:21:00,18:03:00,07:06:00,17:17:00,07:55:00,16:28:00,12:12:00,147.147
2011-12-25,08:43:00,15:41:00,0 days 06:58:23,,06:21:00,18:03:00,07:07:00,17:18:00,07:56:00,16:29:00,12:12:00,147.14
2011-12-26,08:43:00,15:42:00,0 days 06:58:54,,06:21:00,18:04:00,07:07:00,17:19:00,07:56:00,16:29:00,12:13:00,147.133
2011-12-27,08:43:00,15:43:00,0 days 06:59:34,,06:22:00,18:05:00,07:07:00,17:19:00,07:56:00,16:30:00,12:13:00,147.126
2011-12-28,08:44:00,15:44:00,0 days 07:00:22,,06:22:00,18:06:00,07:07:00,17:20:00,07:56:00,16:31:00,12:14:00,147.12
2011-12-29,08:44:00,15:45:00,0 days 07:01:18,,06:22:00,18:06:00,07:08:00,17:21:00,07:57:00,16:32:00,12:14:00,147.115
2011-12-30,08:44:00,15:46:00,0 days 07:02:21,,06:22:00,18:07:00,07:08:00,17:22:00,07:57:00,16:33:00,12:15:00,147.11
2011-12-31,08:43:00,15:47:00,0 days 07:03:33,,06:22:00,18:08:00,07:08:00,17:23:00,07:57:00,16:34:00,12:15:00,147.106
2012-01-01,08:43:00,15:48:00,0 days 07:04:53,,06:22:00,18:09:00,07:08:00,17:24:00,07:56:00,16:35:00,12:16:00,147.102
